ID_Comanda,estat,impostos,preu_final,data_realitzacio,ID_Client,ID_Venedor,ID_Localitzacio
,quis augue luctus,2,45.57,2011-01-06,48,2022,48
,sapien non mi,41,567.69,2020-03-10,49,2069,49
,non,47,339.67,2018-11-30,50,2033,50
,amet,28,924.58,2018-05-17,51,2010,51
,nulla,47,425.64,2017-07-30,52,2020,52
,faucibus accumsan odio,26,506.85,2010-04-01,53,2031,53
,bibendum,48,360.7,2015-11-27,54,2030,54
,at,21,934.96,2020-05-04,55,2078,55
,suscipit,46,114.24,2017-10-02,56,2038,56
,consequat ut,2,160.6,2010-09-09,57,2093,57
,id massa,34,876.37,2017-02-24,58,2018,58
,interdum venenatis,7,580.75,2019-07-05,59,2007,59
,lectus suspendisse,29,227.04,2015-02-19,60,2092,60
,turpis adipiscing,6,570.74,2013-12-24,61,2060,61
,nulla quisque arcu,48,560.75,2010-11-14,62,2027,62
,malesuada in imperdiet,27,666.74,2016-08-13,63,2009,63
,mi nulla,31,499.65,2017-11-02,64,2019,64
,hac habitasse platea,25,738.37,2015-03-25,65,2066,65
,odio,49,204.52,2018-03-12,66,2071,66
,elementum,26,498.58,2020-04-22,67,2005,67
,risus,38,336.4,2011-07-19,68,2022,68
,adipiscing lorem,30,527.18,2017-01-01,69,2045,69
,consequat dui,3,483.2,2015-04-05,70,2014,70
,donec diam,13,779.27,2015-05-17,71,2039,71
,vestibulum,48,444.63,2016-05-23,72,2048,72
,ipsum,4,293.22,2012-02-21,73,2023,73
,purus phasellus,26,136.82,2012-07-06,74,2048,74
,duis mattis,42,780.5,2020-12-12,75,2049,75
,neque vestibulum eget,32,814.12,2014-02-16,76,2065,76
,posuere,28,919.99,2019-11-06,77,2043,77
,enim leo,13,65.47,2021-01-28,78,2080,78
,mauris,34,725.03,2019-08-10,79,2048,79
,leo,11,953.74,2018-11-08,80,2099,80
,in faucibus,18,409.06,2017-05-16,81,2092,81
,in,12,174.54,2014-09-29,82,2054,82
,nibh fusce lacus,25,497.82,2018-03-01,83,2046,83
,tristique in tempus,1,10.56,2012-04-28,84,2069,84
,felis,1,637.61,2020-03-21,85,2066,85
,pede,6,791.17,2019-05-23,86,2068,86
,cursus id turpis,31,169.78,2016-06-29,87,2056,87
,morbi odio odio,24,111.53,2010-08-22,88,2029,88
,faucibus orci,16,127.44,2012-11-07,89,2093,89
,sed sagittis,23,379.13,2020-07-07,90,2021,90
,turpis donec,3,264.83,2017-01-25,91,2032,91
,quisque erat eros,44,678.33,2012-12-04,92,2078,92
,tortor id nulla,34,813.47,2018-10-23,93,2071,93
,nam ultrices libero,12,266.19,2018-09-03,94,2082,94
,ipsum,17,117.91,2014-08-28,95,2017,95
,in purus,42,341.13,2017-04-08,96,2036,96
,lectus pellentesque eget,15,963.93,2016-05-26,97,2076,97
,suspendisse potenti in,14,819.54,2014-09-14,98,2067,98
,orci mauris lacinia,36,750.09,2018-09-29,99,2029,99
,sapien arcu sed,25,559.21,2020-01-03,100,2084,100
,accumsan,42,436.6,2020-06-04,101,2020,101
,orci,25,690.06,2015-05-09,102,2080,102
,vestibulum,36,812.59,2020-11-01,103,2030,103
2040,aliquet massa id,32,556.56,2016-05-03,104,2097,104
,justo,43,35.42,2010-04-03,105,2004,105
,sapien varius,46,65.67,2011-09-22,106,2068,106
,porta volutpat erat,46,762.33,2016-02-29,107,2068,107
,eros,10,922.0,2011-07-08,108,2090,108
,lorem id ligula,10,635.18,2020-05-26,109,2033,109
,dictumst aliquam,27,529.94,2011-11-12,110,2059,110
,odio,4,403.24,2019-09-16,111,2005,111
,augue quam,18,432.39,2018-12-27,112,2087,112
,id turpis integer,20,54.31,2017-11-01,113,2084,113
,donec dapibus,4,479.55,2018-05-24,114,2064,114
,id mauris vulputate,21,156.9,2010-05-30,115,2058,115
,nulla,24,776.56,2019-10-26,116,2038,116
,justo lacinia,8,399.37,2016-02-08,117,2054,117
,molestie,11,811.2,2016-10-14,118,2039,118
,pulvinar sed,18,363.27,2020-07-06,119,2032,119
,mattis nibh,17,867.52,2019-08-24,120,2066,120
2076,nibh in quis,23,185.84,2015-10-29,121,2027,121
,et magnis,37,308.37,2010-11-19,122,2030,122
,nam,7,381.01,2017-02-21,123,2001,123
,metus sapien ut,49,304.3,2011-07-04,124,2073,124
,risus auctor sed,20,447.75,2014-06-28,125,2054,125
,accumsan,5,361.73,2016-05-06,126,2064,126
,nulla quisque arcu,6,170.8,2013-03-03,127,2067,127
,sapien sapien non,5,219.99,2017-01-24,128,2087,128
,venenatis tristique fusce,13,886.13,2013-05-09,129,2025,129
,suspendisse potenti in,8,136.65,2011-01-28,130,2043,130
,pulvinar sed nisl,3,652.0,2016-02-09,131,2051,131
,eget tempus,16,922.69,2017-05-25,132,2055,132
,pellentesque,28,251.53,2011-06-30,133,2033,133
,eget vulputate ut,14,190.31,2011-10-04,134,2062,134
,parturient montes,31,129.51,2014-01-20,135,2024,135
,tempus,11,986.78,2015-08-27,136,2050,136
,in lacus,50,958.12,2011-06-07,137,2076,137
,massa,23,885.11,2017-01-04,138,2059,138
,est risus auctor,28,275.29,2013-04-02,139,2081,139
,turpis,35,817.16,2012-11-18,140,2059,140
,dolor quis,17,587.6,2018-04-30,141,2052,141
,felis,17,487.34,2014-11-05,142,2025,142
,a feugiat,14,110.54,2011-05-06,143,2025,143
,aliquam,5,7.72,2019-10-11,144,2093,144
,id,27,300.44,2015-07-05,145,2027,145
,volutpat,49,629.97,2015-10-17,146,2085,146
,aenean sit amet,36,846.59,2015-11-18,147,2017,147
,luctus,6,398.35,2015-05-11,148,2002,148
,in porttitor,32,227.95,2020-07-24,149,2054,149
,libero quis orci,48,566.56,2013-08-07,150,2059,150
,quis turpis sed,41,738.42,2015-05-06,151,2061,151
,duis faucibus,6,7.14,2017-09-17,152,2087,152
,dolor,24,342.78,2018-10-21,153,2076,153
,in,11,409.39,2015-09-05,154,2041,154
,vel,22,840.75,2013-06-12,155,2068,155
,nulla,10,828.34,2013-04-05,156,2099,156
,convallis tortor risus,41,975.11,2020-11-29,157,2029,157
,vel sem sed,37,41.39,2011-08-15,158,2052,158
,ante vel,18,944.58,2011-02-06,159,2087,159
,vulputate justo,26,306.81,2011-10-29,160,2047,160
,ut,34,915.29,2014-08-23,161,2064,161
,non,46,721.12,2020-02-28,162,2094,162
,vivamus metus arcu,8,358.6,2020-10-10,163,2059,163
,praesent blandit,10,155.73,2014-11-30,164,2029,164
,enim,37,676.72,2010-03-08,165,2058,165
,et,8,606.05,2010-06-02,166,2021,166
,in,42,781.32,2020-12-22,167,2018,167
,maecenas pulvinar lobortis,7,757.55,2012-05-09,168,2048,168
,eget,19,432.35,2018-11-21,169,2001,169
,sapien iaculis,44,322.47,2011-12-27,170,2074,170
,luctus,7,488.84,2012-07-29,171,2069,171
,id massa id,14,207.48,2012-01-02,172,2064,172
,penatibus,35,936.4,2018-12-26,173,2067,173
,pretium nisl,24,308.41,2013-12-19,174,2040,174
,in,13,125.0,2011-04-17,175,2061,175
,luctus,38,99.56,2011-08-19,176,2057,176
,lectus in quam,25,231.33,2016-08-19,177,2089,177
,est lacinia,5,11.79,2017-11-28,178,2057,178
,quis orci,44,287.73,2014-09-25,179,2024,179
,morbi sem mauris,38,917.25,2014-12-25,180,2092,180
,tristique,48,549.98,2016-02-27,181,2005,181
,eleifend,23,594.32,2018-03-17,182,2076,182
,suscipit a,36,997.89,2011-11-27,183,2059,183
,vestibulum,6,203.9,2010-07-13,184,2038,184
,ac,15,561.7,2011-02-16,185,2094,185
,odio,29,644.88,2010-06-10,186,2008,186
,tellus nisi eu,33,738.34,2020-05-31,187,2051,187
,luctus,3,644.02,2012-08-08,188,2098,188
,sed,43,315.35,2010-11-01,189,2097,189
,diam cras pellentesque,27,567.48,2010-09-06,190,2090,190
,ullamcorper,19,976.5,2010-11-02,191,2029,191
,ipsum integer a,24,336.83,2015-02-12,192,2081,192
,est quam,27,952.2,2010-09-23,193,2068,193
,quam pede,22,990.34,2015-05-02,194,2010,194
,ligula,34,284.08,2016-02-18,195,2064,195
,aliquam quis,28,541.26,2014-02-17,196,2010,196
,cursus urna ut,39,458.22,2012-01-28,197,2075,197
,sed magna at,40,42.3,2014-10-21,198,2034,198
,sed augue,23,522.99,2017-07-22,199,2090,199
,nisi,34,855.08,2012-08-19,200,2040,200
,at nulla,44,26.95,2018-10-14,201,2066,201
,turpis donec posuere,41,954.65,2012-03-15,202,2019,202
,ipsum,18,91.95,2015-08-25,203,2085,203
,sit,16,213.19,2012-05-21,204,2003,204
,morbi sem,28,622.52,2018-01-08,205,2069,205
,proin at,40,331.22,2011-06-06,206,2086,206
,donec ut mauris,42,806.29,2011-08-24,207,2088,207
,interdum,44,452.06,2018-11-30,208,2016,208
,enim sit amet,28,325.84,2016-10-07,209,2087,209
,proin interdum mauris,36,694.58,2020-12-17,210,2065,210
,leo maecenas pulvinar,10,605.39,2011-03-09,211,2052,211
,rutrum at lorem,39,77.39,2021-02-01,212,2014,212
,vestibulum,20,60.59,2014-04-28,213,2048,213
,pede,23,552.87,2018-08-31,214,2037,214
,aenean auctor gravida,33,768.27,2010-05-18,215,2031,215
,vestibulum vestibulum,41,636.39,2012-04-06,216,2053,216
,tempor turpis,3,380.53,2020-06-08,217,2030,217
,nibh,20,107.09,2019-04-21,218,2071,218
,tristique fusce,23,985.91,2015-10-16,219,2032,219
,odio,13,632.12,2014-01-15,220,2082,220
,velit vivamus,22,298.96,2018-11-24,221,2021,221
,nulla suscipit,16,570.48,2012-06-21,222,2072,222
,nibh in,10,676.19,2014-12-07,223,2059,223
,aenean,34,912.2,2011-07-19,224,2084,224
,bibendum felis sed,14,28.32,2017-04-28,225,2055,225
,dictumst,37,938.39,2014-03-28,226,2010,226
,accumsan tellus nisi,38,401.5,2013-03-08,227,2042,227
,accumsan,35,45.02,2012-02-16,228,2086,228
,et commodo,37,755.18,2013-05-18,229,2087,229
,praesent blandit,1,407.57,2011-06-22,230,2066,230
,cursus,49,881.77,2016-11-14,231,2093,231
,quis,42,206.75,2020-12-27,232,2025,232
,pede,39,124.77,2011-09-13,233,2007,233
,vulputate nonummy maecenas,17,467.34,2018-08-29,234,2054,234
,primis in,37,61.57,2015-12-05,235,2012,235
,curae duis faucibus,49,302.99,2013-08-14,236,2034,236
,rutrum nulla,44,777.68,2014-04-29,237,2015,237
,molestie sed,39,310.6,2015-07-25,238,2052,238
,amet,43,281.97,2014-03-22,239,2002,239
2039,ut nunc vestibulum,9,170.77,2016-02-20,240,2011,240
,sapien,50,860.06,2014-01-22,241,2063,241
,quis,8,771.01,2016-02-12,242,2061,242
,nec nisi volutpat,8,657.7,2017-01-02,243,2042,243
,tempus,23,753.49,2014-09-03,244,2022,244
,faucibus orci luctus,9,482.05,2013-02-02,245,2057,245
,lorem ipsum dolor,37,51.62,2020-01-03,246,2069,246
,tortor,21,249.02,2018-06-15,247,2031,247
,ut,32,843.98,2013-01-13,248,2092,248
,eget,31,558.68,2012-12-24,249,2082,249
,quam sollicitudin vitae,16,627.73,2010-09-17,250,2011,250
,nunc proin,9,814.03,2016-01-08,251,2075,251
,interdum,19,736.22,2018-11-14,252,2070,252
,faucibus orci luctus,4,444.27,2017-02-01,253,2053,253
,quam,30,323.04,2018-11-17,254,2034,254
2054,sed,36,444.47,2017-11-21,255,2066,255
,at dolor quis,34,713.37,2014-05-07,256,2093,256
,vel augue,42,389.28,2015-08-16,257,2099,257
,magna at,36,572.73,2014-04-27,258,2095,258
,habitasse platea dictumst,36,397.45,2015-04-16,259,2095,259
,et magnis,45,226.88,2013-08-06,260,2099,260
,ligula,13,530.5,2017-08-07,261,2087,261
,facilisi cras,46,955.14,2016-03-20,262,2092,262
,blandit,8,613.74,2015-06-05,263,2066,263
,risus semper porta,25,412.85,2020-03-01,264,2047,264
,est,33,709.78,2016-03-29,265,2015,265
,ut mauris eget,44,81.87,2012-09-02,266,2015,266
2088,nulla justo,4,551.59,2016-07-29,267,2040,267
,id pretium iaculis,5,44.49,2017-10-30,268,2050,268
,eleifend,32,328.0,2016-11-08,269,2037,269
,quis,14,248.73,2017-07-17,270,2018,270
,id,26,722.09,2019-04-16,271,2075,271
,quis,35,652.83,2014-09-05,272,2076,272
,lectus,11,861.48,2010-05-19,273,2050,273
,mus,43,18.9,2014-07-09,274,2065,274
,nisi nam,43,421.12,2013-02-23,275,2097,275
,nulla ut erat,38,168.75,2019-09-04,276,2073,276
,sit amet eleifend,40,330.69,2017-12-27,277,2034,277
,mauris eget massa,33,370.98,2019-04-23,278,2022,278
,praesent lectus vestibulum,24,159.12,2011-04-12,279,2027,279
,cursus urna,20,205.79,2010-04-03,280,2090,280
,nisl,7,688.28,2014-05-27,281,2073,281
,nec condimentum,12,318.84,2019-01-24,282,2090,282
,vulputate,10,458.93,2015-12-18,283,2064,283
,nec molestie,48,838.7,2011-04-01,284,2003,284
,pretium nisl ut,33,489.14,2014-01-13,285,2075,285
,magnis dis parturient,5,461.44,2014-07-30,286,2077,286
,venenatis lacinia,34,611.13,2016-02-21,287,2017,287
,in lectus pellentesque,6,744.58,2020-11-22,288,2009,288
2091,sem sed,22,302.75,2013-05-19,289,2035,289
,congue vivamus metus,14,772.01,2020-06-30,290,2043,290
,tempus semper,29,800.67,2012-08-13,291,2026,291
,consequat in,32,546.82,2011-06-07,292,2004,292
,quisque,41,618.99,2017-09-26,293,2014,293
,tellus nisi eu,50,546.98,2011-11-09,294,2072,294
,nunc viverra,28,351.2,2013-04-18,295,2009,295
,nulla,32,575.48,2013-07-30,296,2089,296
,mi sit amet,21,165.75,2017-05-27,297,2091,297
,lorem,13,573.83,2011-02-26,298,2092,298
,enim,8,335.16,2014-04-20,299,2034,299
,massa id,40,971.26,2015-12-09,300,2017,300
,velit id,29,288.42,2012-12-15,301,2045,301
,vel,29,562.43,2014-03-05,302,2062,302
,justo,33,540.97,2010-09-01,303,2039,303
,justo lacinia eget,46,844.2,2019-04-17,304,2040,304
,dapibus dolor vel,10,137.67,2018-01-13,305,2082,305
,varius nulla,27,379.51,2013-02-28,306,2039,306
,venenatis,17,402.04,2019-02-18,307,2042,307
,integer aliquet,14,244.07,2012-05-09,308,2015,308
,volutpat eleifend,44,872.15,2019-09-22,309,2087,309
,dolor,48,415.83,2010-08-16,310,2097,310
,tristique in tempus,17,719.49,2019-08-08,311,2076,311
,quisque ut erat,40,895.92,2020-03-22,312,2005,312
,ligula in lacus,3,443.56,2014-12-12,313,2030,313
,eget,8,661.13,2020-09-16,314,2085,314
,rhoncus aliquam,29,169.76,2020-08-03,315,2073,315
,justo morbi ut,32,74.59,2010-09-12,316,2073,316
,quis odio,19,33.56,2012-07-03,317,2006,317
,vestibulum rutrum rutrum,23,529.67,2020-12-15,318,2001,318
,eget eros,19,456.74,2011-05-02,319,2050,319
,odio elementum eu,21,176.9,2020-09-26,320,2013,320
2088,nulla,10,928.97,2018-08-16,321,2024,321
,ac,1,981.21,2015-08-03,322,2066,322
,cubilia curae,42,132.49,2012-05-25,323,2087,323
,eros,45,390.95,2020-03-23,324,2011,324
,tellus,37,594.7,2010-08-22,325,2044,325
,nisi at nibh,45,689.84,2013-11-17,326,2079,326
,libero rutrum,40,195.53,2020-09-21,327,2095,327
,nulla,41,426.32,2012-04-20,328,2008,328
,condimentum curabitur in,11,88.96,2015-12-29,329,2036,329
,id ligula suspendisse,36,679.94,2012-12-09,330,2051,330
,placerat ante,19,853.03,2012-06-02,331,2083,331
,luctus nec molestie,33,915.55,2019-02-26,332,2014,332
,felis,41,855.61,2014-05-25,333,2068,333
,rutrum,14,150.14,2010-12-23,334,2058,334
,ipsum,42,789.51,2018-05-02,335,2074,335
2036,at nunc commodo,15,515.39,2010-06-19,336,2031,336
,amet,8,318.27,2019-07-25,337,2027,337
,vel,42,588.04,2020-07-13,338,2091,338
,nulla eget,25,713.66,2020-06-22,339,2039,339
,nulla ac enim,34,716.46,2010-12-28,340,2026,340
,ipsum,22,119.15,2015-03-10,341,2021,341
,nunc vestibulum ante,41,496.12,2013-09-10,342,2035,342
,nascetur,3,329.12,2017-09-21,343,2005,343
2063,justo maecenas rhoncus,19,652.92,2012-10-25,344,2078,344
,amet eros,32,309.94,2017-10-02,345,2028,345
,nulla quisque arcu,28,231.6,2015-01-23,346,2025,346
,mattis pulvinar nulla,2,316.58,2020-02-14,347,2087,347
,convallis morbi,24,135.04,2012-02-11,348,2012,348
,imperdiet et commodo,22,332.5,2017-11-20,349,2004,349
,integer,3,406.5,2018-11-30,350,2025,350
,est phasellus,47,786.61,2020-02-26,351,2044,351
,consequat lectus,1,885.81,2013-05-03,352,2091,352
,justo maecenas,18,680.89,2020-10-29,353,2033,353
,tincidunt eu felis,7,520.77,2016-08-02,354,2019,354
,vel nisl,29,591.87,2019-06-09,355,2045,355
,nunc proin at,46,14.12,2019-08-11,356,2025,356
,vitae mattis nibh,50,221.1,2020-11-27,357,2053,357
,tincidunt eu,4,986.78,2020-11-07,358,2062,358
,venenatis tristique,31,732.76,2020-08-17,359,2089,359
,in,3,926.04,2020-10-31,360,2010,360
,non ligula,39,862.95,2012-02-19,361,2057,361
,ac neque duis,1,340.54,2018-03-03,362,2002,362
,in faucibus,44,918.37,2017-01-10,363,2090,363
,sapien urna,9,949.27,2018-01-05,364,2016,364
,ut,34,722.32,2013-04-14,365,2029,365
,amet consectetuer adipiscing,8,568.63,2018-11-11,366,2088,366
,ac,46,291.75,2016-08-23,367,2066,367
,porttitor lacus,17,145.62,2011-01-21,368,2001,368
,cras in purus,23,981.0,2013-11-25,369,2007,369
,ac enim in,29,735.51,2016-07-02,370,2055,370
,condimentum neque sapien,17,779.06,2016-10-13,371,2032,371
,libero nam,28,893.02,2013-06-24,372,2092,372
,tellus nisi eu,22,250.68,2016-10-10,373,2039,373
,congue eget semper,9,639.09,2011-12-11,374,2047,374
,porta,47,121.96,2016-09-13,375,2090,375
,nulla tempus vivamus,17,999.64,2019-05-18,376,2021,376
,nulla,2,956.52,2012-07-25,377,2061,377
,pede,47,741.75,2018-11-06,378,2053,378
,sociis natoque penatibus,6,908.7,2012-09-15,379,2057,379
,eu,41,920.55,2019-10-08,380,2026,380
,suspendisse,16,475.32,2010-12-24,381,2075,381
,nullam sit amet,13,621.83,2016-09-15,382,2026,382
,nullam porttitor lacus,37,879.98,2019-11-01,383,2047,383
,at dolor,28,551.37,2015-10-10,384,2004,384
,faucibus,36,8.55,2017-04-14,385,2009,385
,amet diam,31,121.67,2015-03-16,386,2061,386
,sem duis aliquam,4,202.06,2017-12-08,387,2031,387
,elit,8,111.21,2013-02-14,388,2081,388
,nam ultrices libero,25,702.92,2013-09-16,389,2001,389
,aliquet,7,654.37,2011-12-14,390,2072,390
,hendrerit at vulputate,32,391.5,2013-12-16,391,2057,391
,sed nisl nunc,33,559.83,2012-04-25,392,2038,392
,dictumst,38,522.69,2020-12-19,393,2060,393
,in,7,476.14,2010-04-23,394,2069,394
,turpis,19,717.97,2020-06-29,395,2064,395
,nulla suscipit ligula,31,85.41,2020-07-06,396,2065,396
,posuere,36,397.67,2010-10-02,397,2091,397
,sapien,24,547.28,2013-08-05,398,2042,398
,sapien,22,428.22,2013-11-13,399,2094,399
,ornare consequat,31,705.88,2015-06-29,400,2082,400
,diam erat fermentum,27,657.22,2019-04-04,401,2043,401
,eget tincidunt eget,17,15.76,2018-04-06,402,2069,402
2095,in purus eu,1,164.25,2020-11-16,403,2038,403
,sapien a,26,990.86,2017-06-23,404,2043,404
,sapien dignissim vestibulum,11,554.53,2016-12-04,405,2050,405
,ac leo,49,622.01,2015-06-29,406,2001,406
,ultrices posuere,15,803.79,2014-06-26,407,2078,407
,praesent blandit,8,61.92,2015-03-15,408,2079,408
,ultrices,36,471.98,2015-05-30,409,2043,409
,mauris ullamcorper purus,24,765.0,2010-08-21,410,2086,410
,integer aliquet massa,16,135.2,2017-10-07,411,2066,411
,luctus cum sociis,1,883.43,2018-03-04,412,2048,412
,adipiscing elit,9,434.97,2011-10-17,413,2097,413
,quam pede lobortis,2,357.73,2011-09-19,414,2089,414
,bibendum,21,4.82,2019-03-13,415,2012,415
,potenti cras,14,446.7,2013-03-07,416,2034,416
,quam sollicitudin vitae,26,838.11,2015-10-03,417,2095,417
,dictumst,7,214.88,2010-04-14,418,2073,418
,a,13,146.68,2016-04-25,419,2019,419
,congue elementum,47,720.23,2019-07-21,420,2008,420
,turpis enim blandit,36,622.75,2012-06-11,421,2083,421
,pellentesque ultrices,23,115.2,2015-04-05,422,2034,422
,augue vel accumsan,12,420.79,2020-06-21,423,2085,423
,iaculis congue,47,230.27,2010-11-11,424,2037,424
,condimentum curabitur,36,314.23,2013-11-09,425,2073,425
,sapien,47,251.57,2014-09-07,426,2076,426
,at,9,62.09,2013-11-15,427,2004,427
,maecenas ut,47,382.14,2011-12-19,428,2082,428
,dolor sit amet,24,450.38,2013-07-23,429,2078,429
,congue elementum,46,869.08,2019-07-22,430,2001,430
,sed,5,602.04,2012-09-11,431,2080,431
,vestibulum ante,23,333.48,2019-02-09,432,2058,432
,tincidunt,35,586.48,2014-02-13,433,2006,433
,odio,35,455.23,2012-01-24,434,2061,434
,felis sed,40,901.37,2012-01-16,435,2014,435
,iaculis,36,938.48,2011-01-31,436,2036,436
,molestie sed justo,6,548.32,2016-11-02,437,2097,437
,phasellus sit amet,12,199.88,2012-10-10,438,2052,438
,luctus,24,156.8,2014-10-23,439,2095,439
,in imperdiet,13,514.83,2016-01-23,440,2043,440
,duis,30,517.39,2013-03-23,441,2050,441
,pellentesque at nulla,11,959.65,2019-09-04,442,2016,442
,amet,26,285.84,2014-03-19,443,2047,443
,faucibus accumsan,26,492.12,2018-11-02,444,2080,444
,rhoncus sed vestibulum,13,581.79,2016-01-10,445,2056,445
,pellentesque,43,77.62,2017-03-23,446,2041,446
,cum,16,165.62,2017-03-21,447,2010,447
,sapien non mi,28,830.03,2013-02-15,448,2040,448
,volutpat erat quisque,30,198.82,2013-01-02,449,2075,449
,vitae nisi nam,32,658.21,2013-12-13,450,2047,450
,vulputate,48,956.85,2011-04-24,451,2080,451
,in lectus pellentesque,2,182.41,2011-02-21,452,2034,452
,quam,34,814.97,2016-09-02,453,2025,453
,ut erat id,42,920.29,2013-11-16,454,2026,454
,cubilia curae,35,517.47,2010-07-15,455,2080,455
,justo,7,887.02,2019-07-08,456,2049,456
,nibh ligula,27,953.64,2015-03-20,457,2075,457
,augue vestibulum,46,386.36,2019-06-04,458,2093,458
,imperdiet sapien urna,34,472.3,2012-08-11,459,2099,459
,vehicula consequat,43,310.31,2010-05-16,460,2086,460
,eget vulputate,45,151.93,2020-12-18,461,2077,461
,ut ultrices,13,621.64,2014-11-18,462,2044,462
,tempus,4,318.9,2016-07-26,463,2083,463
,id justo sit,15,720.23,2018-08-08,464,2012,464
,et commodo,14,701.34,2018-03-26,465,2001,465
,eget tempus vel,49,602.95,2018-04-19,466,2092,466
,felis,30,475.95,2016-06-24,467,2076,467
,quam,1,291.34,2015-07-07,468,2020,468
,amet sem,48,291.62,2011-06-23,469,2069,469
,risus dapibus,50,421.67,2010-12-30,470,2082,470
,pretium iaculis,12,659.6,2011-11-28,471,2004,471
,tristique,22,713.14,2010-12-27,472,2098,472
,nisi vulputate nonummy,9,554.34,2014-03-23,473,2012,473
,lectus pellentesque at,39,87.27,2018-02-26,474,2059,474
,pretium,28,598.47,2020-10-04,475,2074,475
,elementum nullam,18,230.17,2014-11-04,476,2078,476
,dui vel,4,387.24,2020-02-07,477,2016,477
,congue elementum,8,457.86,2015-07-22,478,2048,478
,odio,11,648.84,2020-02-09,479,2061,479
,sed augue aliquam,43,629.22,2020-03-18,480,2021,480
,arcu adipiscing molestie,41,623.92,2013-11-17,481,2029,481
,nunc rhoncus dui,23,559.0,2017-09-03,482,2050,482
,nullam porttitor lacus,27,192.13,2020-07-08,483,2071,483
,cursus id,24,881.05,2018-10-18,484,2026,484
,vestibulum rutrum rutrum,41,731.47,2015-10-01,485,2015,485
,ligula nec sem,48,573.63,2016-05-03,486,2046,486
,auctor gravida sem,10,203.92,2018-06-01,487,2025,487
,aenean sit,18,491.12,2011-05-21,488,2084,488
,augue,7,6.27,2018-07-08,489,2043,489
,eleifend,30,105.37,2013-09-05,490,2001,490
,orci,26,165.06,2020-06-18,491,2039,491
,etiam vel augue,35,879.27,2016-03-29,492,2006,492
,accumsan felis,8,277.16,2016-08-15,493,2008,493
,platea dictumst aliquam,2,947.85,2014-07-24,494,2075,494
,ut,49,608.1,2021-02-11,495,2015,495
,non mauris morbi,5,952.89,2015-01-04,496,2088,496
,commodo placerat praesent,24,202.7,2010-08-01,497,2069,497
,est lacinia nisi,31,176.3,2015-01-22,498,2027,498
,mauris,5,364.85,2020-03-10,499,2067,499
,sed accumsan,43,474.63,2011-05-11,500,2002,500
,augue aliquam,28,85.96,2019-11-19,501,2053,501
,augue aliquam,3,954.01,2020-04-14,502,2056,502
,potenti nullam,29,97.43,2018-12-04,503,2041,503
,nisl,44,37.89,2014-11-12,504,2077,504
,sapien,9,892.87,2010-10-04,505,2022,505
,semper,6,478.7,2012-04-26,506,2069,506
