ID_Vehicle,ID_Magatzem,ID_Localitzacio
346,25,2849
347,24,2977
348,8,2545
349,8,2617
350,3,2525
351,6,2823
352,16,2655
353,17,2575
354,16,2530
355,15,2647
356,27,2875
357,18,2565
358,7,2688
359,14,2724
360,19,2852
361,23,2766
362,7,2604
363,10,2844
364,15,2584
365,20,2643
366,9,2961
367,13,2599
368,10,2824
369,24,2677
370,14,2856
371,1,2729
372,21,2516
373,3,2779
374,24,2749
375,19,2547
376,24,2824
377,4,2711
378,9,2766
379,18,2687
380,18,2878
381,14,2858
382,4,2822
383,21,2835
384,26,2725
385,20,2741
386,4,2666
387,1,2909
388,6,2512
389,19,2511
390,28,2952
391,4,2539
392,19,2697
393,25,2754
394,6,2939
395,18,2812
396,23,2838
397,4,2886
398,13,2655
399,20,2604
400,26,2528
401,27,2536
402,7,2793
403,26,2848
404,30,2920
405,7,2913
406,11,2643
407,18,2826
408,16,2829
409,30,2838
410,1,2657
411,7,2781
412,8,2917
413,18,2652
414,22,2800
415,29,2776
416,3,2655
417,30,2654
418,29,2520
419,6,2933
420,30,2507
421,27,2963
422,4,2534
423,18,2815
424,8,2908
425,25,2893
426,14,2794
427,26,2800
428,25,2528
429,8,2919
430,20,2608
431,22,2672
432,10,2971
433,26,2966
434,10,2877
435,15,2972
436,14,2905
437,21,2546
438,5,2701
439,5,2745
440,13,2620
441,9,2955
442,19,2929
443,10,2671
444,29,2726
445,28,2943
446,2,2692
447,25,2503
448,26,2671
449,6,2962
450,15,2519
451,26,2919
452,18,2536
453,28,2893
454,3,2785
455,19,2867
456,23,2874
457,3,2721
458,2,2805
459,22,2945
460,11,2683
461,9,2849
462,2,2986
463,13,2766
464,23,2541
465,29,2598
466,28,2660
467,1,2826
468,4,2761
469,6,2614
470,27,2512
471,23,2915
472,24,2708
473,10,2736
474,12,2613
475,6,2654
476,5,2647
477,26,2920
478,3,2626
479,20,2740
480,29,2531
481,19,2503
482,1,2941
483,18,2912
484,15,2923
485,23,2527
486,11,2514
487,28,2969
488,19,2930
489,1,2556
490,30,2509
491,5,2945
492,4,2816
493,6,2555
494,13,2745
495,15,2773
496,24,2551
497,19,2526
498,6,2559
499,20,2830
500,27,2566
501,9,2821
502,13,2946
503,22,2840
504,22,2947
505,1,2613
506,15,2665
507,21,2843
508,5,2629
509,28,2662
510,15,2660
511,20,2705
512,19,2980
513,6,2828
514,27,2575
515,1,2958
516,8,2557
517,7,2839
518,11,2931
519,27,2826
520,11,2719
521,16,2556
522,16,2721
523,18,2937
524,7,2693
525,7,2575
526,14,2632
527,30,2533
528,24,2752
529,18,2597
530,10,2940
531,24,2854
532,2,2581
533,25,2981
534,27,2981
535,10,2643
536,6,2570
537,5,2692
538,13,2780
539,11,2754
540,14,2956
541,14,2936
542,25,2844
543,12,2617
544,20,2687
545,27,2928
546,2,2629
547,5,2534
548,8,2584
549,28,2968
550,28,2589
551,7,2885
552,7,2545
553,12,2752
554,26,2826
555,7,2631
556,11,2992
557,4,2860
558,1,2838
559,14,2972
560,10,2699
561,2,2624
562,25,2717
563,21,2571
564,26,2877
565,22,2804
566,18,2549
567,20,2914
568,11,2700
569,4,2606
570,20,2840
571,2,2632
572,22,2713
573,11,2632
574,25,2504
575,7,2556
576,27,2528
