ID_Article,preu,descompte
1475,948.6,54
1476,205.92,42
1477,311.56,44
1478,292.98,52
1479,848.44,61
1480,696.65,47
1481,671.83,17
1482,556.07,59
1483,570.87,46
1484,80.38,5
1485,853.9,61
1486,432.89,26
1487,599.63,65
1488,449.42,48
1489,501.97,23
1490,702.23,32
1491,993.87,56
1492,819.85,58
1493,287.4,24
1494,65.47,15
1495,223.85,14
1496,295.53,37
1497,245.12,32
1498,426.03,19
1499,797.91,11
1500,304.74,68
1501,678.16,1
1502,539.64,15
1503,307.1,15
1504,884.47,46
1505,733.79,2
1506,56.58,26
1507,231.61,3
1508,604.89,65
1509,204.61,63
1510,889.85,33
1511,206.17,70
1512,507.38,66
1513,7.49,46
1514,32.32,15
1515,693.82,22
1516,538.54,19
1517,366.99,23
1518,662.91,71
1519,726.37,43
1520,605.62,1
1521,794.68,59
1522,606.89,22
1523,286.21,52
1524,146.33,6
1525,898.47,3
1526,205.75,19
1527,255.38,74
1528,684.46,44
1529,380.06,57
1530,669.3,8
1531,392.88,3
1532,482.15,36
1533,880.24,23
1534,420.74,32
1535,551.67,21
1536,369.5,52
1537,676.73,11
1538,911.29,54
1539,734.98,72
1540,525.78,37
1541,994.58,22
1542,189.49,29
1543,737.29,61
1544,12.45,6
1545,607.65,1
1546,143.84,8
1547,561.66,26
1548,664.67,45
1549,194.11,38
1550,715.38,67
1551,875.71,70
1552,803.71,59
1553,95.15,75
1554,202.07,36
1555,96.06,26
1556,398.8,27
1557,549.29,16
1558,492.89,42
1559,840.82,68
1560,466.78,48
1561,776.44,71
1562,463.56,29
1563,65.12,39
1564,184.9,49
1565,170.36,33
1566,365.78,42
1567,899.71,18
1568,709.32,64
1569,993.42,52
1570,206.87,48
1571,182.0,31
1572,607.22,42
1573,406.85,68
1574,151.37,48
1575,566.0,44
1576,988.0,16
1577,208.08,60
1578,846.38,1
1579,942.07,25
1580,907.93,33
1581,829.73,57
1582,587.23,9
1583,769.47,45
1584,247.53,49
1585,619.42,6
1586,204.56,10
1587,225.95,49
1588,103.82,39
1589,663.99,59
1590,846.05,19
1591,375.79,72
1592,155.0,31
1593,798.57,46
1594,932.39,35
1595,816.22,63
1596,107.28,35
1597,258.61,63
1598,809.25,69
1599,248.51,46
1600,770.52,40
1601,991.32,9
1602,213.71,1
1603,567.42,65
1604,410.03,47
1605,41.1,63
1606,474.51,47
1607,859.51,65
1608,834.79,33
1609,692.43,47
1610,427.54,25
1611,485.61,57
1612,307.41,43
1613,149.55,7
1614,613.8,73
1615,187.27,56
1616,923.42,29
1617,762.83,63
1618,264.56,58
1619,740.25,45
1620,585.27,42
1621,43.74,33
1622,910.93,41
1623,32.55,56
1624,664.2,50
1625,912.77,51
1626,342.22,27
1627,394.71,62
1628,652.38,71
1629,408.9,25
1630,154.77,66
1631,949.42,51
1632,799.38,26
1633,995.88,68
1634,343.86,72
1635,782.99,11
1636,872.86,63
1637,337.32,67
1638,396.94,57
1639,919.53,23
1640,790.6,68
1641,191.92,14
1642,288.27,40
1643,620.99,44
1644,737.42,41
1645,955.91,49
1646,934.27,15
1647,259.96,22
1648,474.86,16
1649,590.09,8
1650,634.89,22
1651,120.11,6
1652,528.1,20
1653,454.56,73
1654,995.86,9
1655,821.61,10
1656,635.8,1
1657,438.48,63
1658,707.74,38
1659,914.22,67
1660,209.18,65
1661,66.99,11
1662,278.03,16
1663,681.98,2
1664,731.86,34
1665,128.06,8
1666,780.61,50
1667,925.2,26
1668,698.06,30
1669,584.15,1
1670,40.23,33
1671,626.92,17
1672,676.08,3
1673,886.3,32
1674,159.08,2
1675,532.49,63
1676,554.66,75
1677,965.43,34
1678,175.48,34
1679,83.36,30
1680,125.6,59
1681,469.22,63
1682,525.8,67
1683,188.47,55
1684,700.22,28
1685,896.54,69
1686,342.83,56
1687,778.43,47
1688,161.68,37
1689,420.49,35
1690,967.84,18
1691,376.88,30
1692,479.35,72
1693,970.4,63
1694,561.35,13
1695,230.85,65
1696,178.44,11
1697,610.44,60
1698,367.52,51
1699,177.11,30
1700,135.3,35
1701,313.61,35
1702,804.75,66
1703,746.67,19
1704,162.23,38
1705,183.98,28
1706,481.0,67
1707,807.8,45
1708,508.39,25
1709,596.78,44
1710,511.47,37
1711,259.75,57
1712,35.63,74
1713,803.95,36
1714,91.03,57
1715,635.11,13
1716,332.93,13
1717,738.28,48
1718,793.27,17
1719,264.65,68
1720,970.18,36
1721,921.15,65
1722,664.45,62
1723,187.34,47
1724,940.88,36
1725,811.66,2
1726,577.08,63
1727,58.97,49
1728,226.28,13
1729,84.24,58
1730,998.69,52
1731,415.23,73
1732,806.24,4
1733,747.74,41
1734,255.95,70
1735,927.94,11
1736,348.17,67
1737,207.82,3
1738,475.67,22
1739,5.14,1
1740,927.9,75
1741,125.9,46
1742,442.85,60
1743,182.36,24
1744,928.3,29
1745,509.48,12
1746,636.55,68
1747,950.87,56
1748,934.61,21
1749,348.03,34
1750,623.09,2
1751,643.65,47
1752,76.71,44
1753,399.77,12
1754,186.61,71
1755,660.87,9
1756,869.61,32
1757,738.52,4
1758,243.18,51
1759,544.67,8
1760,446.25,66
1761,137.66,43
1762,726.4,42
1763,740.17,16
1764,303.63,29
1765,743.7,20
1766,845.37,20
1767,60.06,60
1768,889.58,34
1769,872.55,1
1770,272.82,61
1771,670.29,30
1772,822.13,25
1773,343.69,55
1774,938.98,37
1775,153.97,5
1776,58.49,19
1777,299.64,4
1778,923.92,24
1779,737.38,71
1780,460.76,21
1781,603.29,37
1782,65.93,1
1783,117.92,6
1784,177.66,27
1785,528.62,30
1786,52.56,44
1787,36.02,17
1788,965.01,45
1789,839.76,6
1790,274.65,49
1791,956.84,7
1792,180.05,19
1793,936.68,65
1794,326.85,5
1795,828.08,1
1796,312.2,22
1797,855.48,18
1798,420.4,68
1799,524.95,44
1800,93.55,36
1801,660.68,51
1802,321.44,45
1803,199.37,49
1804,925.48,45
1805,360.89,56
1806,275.0,15
1807,887.15,52
1808,956.18,29
1809,961.49,33
1810,303.91,74
1811,851.3,21
1812,784.12,53
1813,171.42,20
1814,842.58,34
1815,272.54,31
1816,30.91,3
1817,911.25,15
1818,878.08,26
1819,129.97,45
1820,695.9,43
1821,429.5,30
1822,82.75,34
1823,313.99,62
1824,33.52,70
1825,362.55,63
1826,860.33,52
1827,89.24,55
1828,727.87,51
1829,509.46,21
1830,484.67,20
1831,412.42,68
1832,128.66,2
1833,851.45,14
1834,923.96,27
1835,915.42,66
1836,835.16,53
1837,916.64,9
1838,259.36,11
1839,654.73,63
1840,288.38,32
1841,272.08,57
1842,896.4,43
1843,635.91,21
1844,639.18,41
1845,940.88,72
1846,252.5,55
1847,652.18,37
1848,933.8,18
1849,864.24,6
1850,561.49,35
1851,186.17,69
1852,684.06,67
1853,878.68,50
1854,391.95,2
1855,862.08,43
1856,506.3,20
1857,282.01,8
1858,42.5,20
1859,835.7,9
1860,271.25,34
1861,57.08,52
1862,554.87,2
1863,75.14,30
1864,512.54,43
1865,311.31,15
1866,426.96,33
1867,267.39,73
1868,12.03,62
1869,127.62,67
1870,376.22,19
1871,512.82,19
1872,968.55,9
1873,377.57,26
1874,8.62,13
1875,12.81,75
1876,713.93,22
1877,789.39,20
1878,847.97,16
1879,748.49,57
1880,668.9,23
1881,189.99,65
1882,260.79,34
1883,356.22,25
1884,422.3,44
1885,360.29,46
1886,37.73,8
1887,614.53,32
1888,648.19,52
1889,332.44,64
1890,36.53,61
1891,70.47,60
1892,371.34,62
1893,75.72,19
1894,924.18,15
1895,925.59,41
1896,869.65,69
1897,695.87,21
1898,960.77,72
1899,488.83,14
1900,19.43,23
1901,693.89,61
1902,303.42,11
1903,803.19,65
1904,586.65,21
1905,303.1,5
1906,320.25,27
1907,503.75,67
1908,676.18,69
1909,169.54,16
1910,461.05,31
1911,322.15,51
1912,844.28,50
1913,246.99,75
1914,776.47,46
1915,15.05,64
1916,881.44,15
1917,949.64,58
1918,901.41,73
1919,112.28,49
1920,665.67,13
1921,575.91,69
1922,402.99,15
1923,378.78,36
1924,938.52,69
1925,138.09,26
1926,304.38,38
1927,676.37,11
1928,758.11,7
1929,595.13,10
1930,934.64,13
1931,255.39,16
1932,787.52,52
1933,490.74,11
1934,537.95,64
1935,607.19,74
1936,271.11,74
1937,622.31,16
1938,224.97,34
1939,29.49,38
1940,36.16,71
1941,184.21,60
1942,456.11,27
1943,82.77,63
1944,429.11,30
1945,907.98,63
1946,749.47,19
1947,236.68,24
1948,29.84,42
1949,128.32,42
1950,131.85,7
1951,195.89,72
1952,480.03,3
1953,746.92,30
1954,994.0,28
1955,383.91,58
1956,103.3,38
1957,100.11,25
1958,660.05,20
1959,486.04,6
1960,768.71,48
1961,910.14,37
1962,627.48,33
1963,185.45,57
1964,706.7,57
1965,601.88,31
1966,897.68,67
1967,756.47,69
1968,782.75,29
1969,430.25,72
1970,231.76,36
1971,520.43,15
1972,403.24,1
1973,552.86,36
1974,91.49,17
1975,852.08,35
1976,224.67,33
1977,482.45,7
1978,687.98,15
1979,29.14,25
1980,378.61,50
1981,126.36,63
1982,208.59,73
1983,960.21,57
1984,532.99,46
1985,48.31,46
1986,163.82,62
1987,656.39,71
1988,681.09,47
1989,516.23,23
1990,462.22,64
1991,31.07,30
1992,601.1,28
1993,765.85,8
1994,719.57,8
1995,243.98,11
1996,934.01,24
1997,91.32,68
1998,630.87,2
1999,351.28,21
2000,787.93,56
