ID_Empleat,titol_treball,dies_vacances,dies_malalties,ID_Sou,ID_Departament,ID_Horari
3111,Help Desk Operator,47,26,9,4,40
3112,Software Test Engineer II,24,2,50,8,49
3113,Analyst Programmer,28,9,24,3,45
3114,Analog Circuit Design manager,,28,29,4,20
3115,Web Designer I,,21,44,10,41
3116,VP Sales,,17,26,10,11
3117,Paralegal,39,2,5,5,47
3118,Senior Quality Engineer,,4,25,10,42
3119,Senior Sales Associate,,11,30,7,24
3120,Financial Analyst,,24,38,8,37
3121,Senior Financial Analyst,,29,1,10,42
3122,Office Assistant I,46,14,41,8,41
3123,Senior Financial Analyst,,1,12,8,29
3124,Physical Therapy Assistant,,11,47,9,7
3125,Computer Systems Analyst III,,29,20,6,33
3126,Assistant Media Planner,,28,38,2,27
3127,VP Accounting,37,3,3,5,46
3128,Dental Hygienist,,12,19,1,20
3129,Structural Engineer,,23,39,11,17
3130,Software Consultant,27,21,27,10,48
3131,Information Systems Manager,,19,47,3,21
3132,Financial Advisor,,3,31,9,11
3133,Senior Financial Analyst,,8,39,9,8
3134,Assistant Media Planner,34,24,41,7,36
3135,Analyst Programmer,,21,43,5,44
3136,Senior Quality Engineer,,20,31,9,3
3137,Desktop Support Technician,,19,32,2,1
3138,Analyst Programmer,,18,26,4,36
3139,Recruiting Manager,38,12,39,10,20
3140,Teacher,,28,31,4,36
3141,Safety Technician I,,10,27,6,38
3142,Structural Engineer,,27,8,3,50
3143,Account Coordinator,,24,23,10,1
3144,Internal Auditor,,4,11,12,1
3145,Analog Circuit Design manager,,21,38,6,34
3146,Computer Systems Analyst I,,2,26,10,13
3147,Registered Nurse,42,24,17,8,9
3148,Research Assistant II,,12,37,11,15
3149,Executive Secretary,,21,3,10,3
3150,Analog Circuit Design manager,,24,31,5,14
3151,Staff Accountant III,,12,3,6,50
3152,Automation Specialist IV,,4,6,8,20
3153,Statistician I,,8,41,7,2
3154,Safety Technician I,,21,42,10,42
3155,Marketing Manager,,18,50,7,12
3156,Sales Representative,32,1,5,5,44
3157,Graphic Designer,,26,24,10,26
3158,Structural Engineer,,6,9,5,45
3159,Design Engineer,,20,39,10,21
3160,Analyst Programmer,,19,23,1,40
3161,Analyst Programmer,,12,33,6,37
3162,Senior Developer,43,30,39,1,22
3163,Junior Executive,,2,31,10,50
3164,Statistician IV,,25,41,2,4
3165,Graphic Designer,,20,3,6,26
3166,Staff Scientist,,3,15,8,16
3167,Legal Assistant,,13,30,6,12
3168,Senior Editor,32,21,45,8,40
3169,VP Product Management,50,9,28,4,45
3170,Account Representative II,44,25,41,8,8
3171,Media Manager I,,3,45,6,19
3172,Professor,,30,34,2,40
3173,Developer II,30,7,30,6,13
3174,Paralegal,,27,25,11,1
3175,Product Engineer,,24,22,9,14
3176,Office Assistant II,,28,41,8,11
3177,Software Test Engineer I,,11,21,5,43
3178,Engineer III,,13,42,9,24
3179,Payment Adjustment Coordinator,,27,20,3,12
3180,Computer Systems Analyst III,,11,31,2,22
3181,Web Developer I,,5,12,10,7
3182,Business Systems Development Analyst,,30,14,3,47
3183,Structural Engineer,36,29,44,5,27
3184,Help Desk Technician,,6,34,8,6
3185,Statistician III,41,14,3,6,34
3186,Computer Systems Analyst IV,,13,8,9,16
3187,Account Representative III,,30,43,5,47
3188,Actuary,,5,16,7,28
3189,Staff Accountant II,48,14,47,2,26
3190,Computer Systems Analyst II,30,27,4,5,19
3191,Systems Administrator II,,23,16,1,30
3192,Internal Auditor,,30,39,12,23
3193,Associate Professor,,5,41,6,5
3194,Web Designer I,,28,5,10,7
3195,Automation Specialist II,,5,23,6,42
3196,VP Quality Control,,18,11,10,43
3197,Payment Adjustment Coordinator,,9,46,3,43
3198,Research Nurse,,15,39,10,4
3199,Speech Pathologist,43,16,31,7,9
3200,Information Systems Manager,50,13,16,4,30
