ID_Empleat,titol_treball,dies_vacances,dies_malalties,ID_Sou,ID_Departament,ID_Horari
2156,Cost Accountant,29,9,47,7,2
2157,Cost Accountant,36,4,44,11,12
2158,Database Administrator I,34,16,7,2,18
2159,VP Marketing,30,22,27,3,47
2160,Database Administrator I,18,5,46,8,47
2161,Programmer IV,27,8,45,2,36
2162,Design Engineer,27,28,47,11,44
2163,Desktop Support Technician,37,22,35,8,48
2164,Project Manager,22,18,14,6,13
2165,Sales Representative,26,7,12,10,23
2166,Financial Advisor,35,16,22,6,21
2167,Assistant Manager,17,8,7,4,23
2168,VP Product Management,31,1,42,7,38
2169,Account Coordinator,32,1,43,4,34
2170,Internal Auditor,34,14,24,4,24
2171,Recruiting Manager,27,28,1,7,19
2172,Professor,12,2,49,8,22
2173,Environmental Specialist,12,24,49,1,5
2174,Assistant Media Planner,17,23,26,8,5
2175,Sales Associate,10,20,26,8,23
2176,Technical Writer,28,7,21,3,1
2177,Analog Circuit Design manager,18,20,50,8,36
2178,Internal Auditor,34,16,6,10,26
2179,Geological Engineer,37,1,48,5,18
2180,Clinical Specialist,13,25,37,10,3
2181,Staff Accountant I,37,15,19,1,23
2182,General Manager,15,15,41,1,47
2183,Recruiter,28,2,28,11,50
2184,Technical Writer,27,1,13,3,12
2185,VP Quality Control,10,23,20,11,14
2186,Senior Developer,17,11,45,10,7
2187,Registered Nurse,35,17,22,9,27
2188,Human Resources Assistant IV,14,21,44,11,2
2189,Food Chemist,24,10,32,10,46
2190,Senior Quality Engineer,19,5,43,5,46
2191,Analog Circuit Design manager,33,19,40,12,3
2192,Junior Executive,37,3,39,10,12
2193,Product Engineer,10,19,29,4,7
2194,Sales Representative,14,9,17,9,1
2195,Analyst Programmer,38,12,24,10,11
2196,Electrical Engineer,36,8,8,6,22
2197,Mechanical Systems Engineer,32,12,42,11,17
2198,Chemical Engineer,25,22,9,8,2
2199,Account Executive,32,4,19,12,32
2200,VP Accounting,24,7,21,2,5
2201,Teacher,23,24,20,10,16
2202,Automation Specialist II,31,8,12,1,21
2203,Systems Administrator II,18,29,1,11,36
2204,Clinical Specialist,19,6,38,3,34
2205,Graphic Designer,22,26,31,8,17
2206,Nuclear Power Engineer,38,18,47,6,45
2207,Design Engineer,34,27,27,8,34
2208,Associate Professor,33,7,12,1,6
2209,Senior Financial Analyst,32,8,24,1,46
2210,Physical Therapy Assistant,35,23,47,12,43
2211,Actuary,21,22,41,12,17
2212,Dental Hygienist,34,9,24,2,17
2213,Sales Associate,19,27,38,3,25
2214,Research Associate,12,3,44,5,33
2215,Senior Quality Engineer,35,12,36,6,41
2216,Pharmacist,26,7,40,2,35
2217,Editor,12,24,28,5,25
2218,Senior Editor,24,8,29,11,45
2219,Senior Quality Engineer,20,30,32,1,27
2220,Recruiting Manager,16,26,43,2,41
2221,Legal Assistant,15,26,23,12,15
2222,Statistician IV,35,19,28,9,50
2223,Business Systems Development Analyst,23,30,11,2,14
2224,Director of Sales,37,13,16,12,35
2225,Office Assistant I,15,16,7,7,16
2226,Operator,27,5,40,7,45
2227,Environmental Tech,14,28,1,2,43
2228,VP Sales,23,24,28,9,49
2229,Assistant Media Planner,12,16,33,12,31
2230,Nurse Practicioner,23,14,5,7,26
2231,Sales Representative,26,20,15,1,23
2232,Human Resources Assistant I,35,30,45,1,14
2233,Financial Advisor,17,25,12,11,40
2234,Registered Nurse,17,29,9,12,26
2235,Paralegal,12,27,27,6,29
2236,Chief Design Engineer,33,28,22,6,50
2237,Geological Engineer,31,28,32,5,28
2238,Quality Engineer,32,3,6,11,43
2239,Business Systems Development Analyst,19,27,30,6,49
2240,Senior Editor,34,18,8,2,3
2241,Junior Executive,19,21,18,4,36
2242,Account Representative II,24,26,25,11,34
2243,Assistant Manager,35,27,4,2,22
2244,Recruiting Manager,31,27,29,11,20
2245,Assistant Professor,31,30,35,4,26
2246,Editor,19,26,42,11,2
2247,Statistician III,21,11,24,9,17
2248,Recruiter,38,30,37,5,12
2249,Administrative Assistant II,23,26,33,10,20
2250,Director of Sales,17,30,25,12,32
2251,Web Designer IV,35,5,35,3,7
2252,Statistician II,24,2,20,10,5
2253,Financial Advisor,38,28,11,3,19
2254,Tax Accountant,37,14,16,2,14
2255,Registered Nurse,10,29,27,8,31
2256,Help Desk Operator,14,17,6,12,15
2257,Senior Financial Analyst,37,12,41,12,41
2258,Cost Accountant,34,19,8,8,10
2259,Administrative Officer,31,21,27,8,37
2260,Budget/Accounting Analyst I,40,29,10,1,11
2261,Geological Engineer,36,0,12,5,26
2262,Dental Hygienist,21,26,19,10,20
2263,Clinical Specialist,28,7,17,11,15
2264,Internal Auditor,15,23,14,5,43
2265,Marketing Manager,40,28,25,6,5
2266,Accounting Assistant II,11,2,15,3,15
2267,Account Executive,13,19,6,9,38
2268,Director of Sales,17,20,14,10,31
2269,Web Designer I,24,12,2,12,42
2270,Paralegal,12,4,35,2,44
2271,Assistant Media Planner,40,19,1,9,48
2272,Information Systems Manager,15,18,23,4,40
2273,Professor,34,30,37,12,10
2274,Speech Pathologist,31,1,8,3,19
2275,Assistant Professor,28,19,38,7,29
2276,Financial Advisor,22,11,19,4,48
2277,Quality Control Specialist,28,25,27,9,7
2278,Technical Writer,12,17,49,12,26
2279,VP Sales,11,4,11,1,19
2280,GIS Technical Architect,27,27,17,3,4
2281,Research Assistant I,21,5,17,2,47
2282,Physical Therapy Assistant,21,6,17,4,29
2283,Chemical Engineer,33,14,10,6,2
2284,Account Executive,19,24,28,7,29
2285,Accounting Assistant III,33,27,31,7,43
2286,Occupational Therapist,40,22,4,3,47
2287,Account Coordinator,16,3,35,11,28
2288,Quality Engineer,22,30,12,11,5
2289,Nurse,21,18,18,3,21
2290,Budget/Accounting Analyst III,17,28,46,2,11
2291,Administrative Officer,39,12,13,6,6
2292,Systems Administrator III,20,13,18,12,8
2293,Research Nurse,30,12,17,7,7
2294,Paralegal,16,9,46,4,11
2295,Paralegal,23,25,13,10,41
2296,Editor,26,29,40,11,12
2297,Teacher,12,16,43,10,10
2298,Librarian,30,21,33,1,23
2299,Dental Hygienist,38,29,47,3,14
2300,Office Assistant II,33,6,28,4,44
2301,Electrical Engineer,37,2,40,3,2
2302,Senior Sales Associate,15,27,20,4,39
2303,Structural Engineer,10,14,50,3,40
2304,Paralegal,37,30,5,3,17
2305,Dental Hygienist,15,3,12,6,48
2306,Occupational Therapist,40,8,30,10,23
2307,Desktop Support Technician,33,14,23,10,18
2308,Senior Editor,35,2,25,11,16
2309,Data Coordiator,18,16,16,11,10
2310,Business Systems Development Analyst,26,13,36,1,44
2311,Data Coordiator,39,20,39,7,25
2312,Administrative Officer,26,19,7,7,34
2313,Geological Engineer,34,2,10,12,11
2314,Data Coordiator,39,12,20,4,39
2315,Media Manager I,25,28,7,2,35
2316,Chief Design Engineer,19,30,33,12,11
2317,Environmental Tech,32,29,30,4,36
2318,Senior Editor,18,12,3,11,20
2319,Environmental Specialist,37,24,30,8,48
2320,Sales Representative,35,9,31,3,3
2321,Engineer II,28,21,7,7,12
2322,Recruiter,37,9,21,3,15
2323,Research Nurse,21,0,30,6,31
2324,Media Manager IV,14,6,26,1,19
2325,Marketing Manager,23,0,47,5,46
2326,Business Systems Development Analyst,20,25,15,1,25
2327,Environmental Specialist,38,2,33,3,37
2328,Administrative Assistant I,28,28,28,3,7
2329,Business Systems Development Analyst,38,7,18,5,25
2330,Technical Writer,18,3,19,9,45
2331,Geologist I,20,23,27,2,3
2332,Civil Engineer,11,8,11,12,20
2333,Senior Financial Analyst,25,5,24,12,23
2334,Human Resources Assistant III,28,19,46,11,45
2335,Chemical Engineer,12,14,33,8,30
2336,Tax Accountant,33,13,5,3,12
2337,VP Marketing,19,16,18,11,4
2338,Senior Cost Accountant,31,4,12,12,23
2339,Staff Scientist,38,8,35,11,45
2340,Senior Financial Analyst,32,5,48,11,24
2341,Help Desk Operator,16,1,37,3,45
2342,Software Test Engineer III,33,27,45,1,28
2343,Biostatistician III,21,22,46,9,27
2344,Sales Representative,18,15,4,2,30
2345,Developer I,11,26,28,9,41
2346,Safety Technician II,22,5,16,10,7
2347,Clinical Specialist,33,20,18,12,20
2348,Data Coordiator,11,20,13,6,38
2349,Civil Engineer,27,29,45,12,20
2350,Compensation Analyst,15,28,40,10,20
2351,Marketing Manager,39,22,26,4,11
2352,Internal Auditor,27,5,33,1,3
2353,Payment Adjustment Coordinator,17,1,1,11,2
2354,Engineer II,38,15,18,8,45
2355,Research Assistant III,28,13,17,4,41
2356,Geological Engineer,18,30,42,9,48
2357,Desktop Support Technician,29,28,21,7,6
2358,Software Engineer IV,39,1,21,7,17
2359,Account Coordinator,37,0,35,4,40
2360,Database Administrator II,10,7,24,8,26
2361,Environmental Tech,13,21,1,3,31
2362,VP Accounting,25,1,43,6,26
2363,Senior Developer,21,19,34,11,41
2364,Senior Editor,33,28,25,12,39
2365,Developer IV,38,28,22,9,48
2366,Budget/Accounting Analyst IV,16,25,23,12,32
2367,Media Manager I,23,23,25,6,13
2368,Staff Scientist,26,9,3,6,11
2369,Recruiting Manager,19,29,13,3,50
2370,Administrative Assistant III,36,8,38,9,26
2371,Assistant Media Planner,21,12,41,9,46
2372,Sales Representative,20,15,39,1,48
2373,Senior Developer,39,30,47,12,46
2374,Chief Design Engineer,36,22,29,11,50
2375,Recruiter,23,4,4,11,33
2376,Sales Associate,20,17,35,9,15
2377,GIS Technical Architect,22,4,49,1,7
2378,VP Sales,18,4,23,8,34
2379,Technical Writer,29,22,6,9,29
2380,Assistant Media Planner,15,9,4,9,41
2381,VP Quality Control,34,25,47,11,37
2382,Administrative Officer,22,12,10,1,6
2383,Cost Accountant,29,2,1,10,5
2384,Graphic Designer,30,26,21,7,43
2385,Dental Hygienist,18,28,17,7,37
2386,Pharmacist,32,5,14,6,4
2387,Chief Design Engineer,24,28,34,10,16
2388,Food Chemist,16,15,12,12,30
2389,Senior Editor,18,5,36,12,45
2390,Accounting Assistant I,20,13,7,9,14
2391,Business Systems Development Analyst,16,17,35,2,50
2392,Senior Financial Analyst,16,19,39,7,42
2393,Nurse,33,27,47,10,24
2394,Help Desk Technician,24,19,26,9,18
2395,Web Developer II,30,29,38,12,13
2396,Operator,11,10,43,4,33
2397,Software Consultant,18,28,43,11,34
2398,Dental Hygienist,40,22,16,5,3
2399,Programmer Analyst I,30,16,49,6,22
2400,Geologist I,13,19,2,11,49
2401,VP Sales,31,28,35,7,4
2402,Assistant Manager,30,6,2,11,12
2403,Human Resources Assistant II,19,9,20,9,31
2404,Legal Assistant,34,6,37,3,8
2405,Web Developer IV,13,20,25,4,44
2406,Community Outreach Specialist,11,20,43,9,40
2407,VP Quality Control,32,23,3,10,40
2408,Budget/Accounting Analyst III,20,19,7,11,50
2409,Information Systems Manager,11,3,8,5,30
2410,Research Nurse,11,17,50,3,6
2411,VP Sales,25,15,30,12,11
2412,Environmental Tech,37,29,39,5,7
2413,Quality Control Specialist,10,29,27,8,40
2414,Budget/Accounting Analyst II,37,8,34,5,6
2415,Graphic Designer,34,5,16,1,34
2416,Electrical Engineer,32,12,32,1,8
2417,VP Sales,35,19,14,12,24
2418,Editor,10,22,22,8,50
2419,Sales Associate,17,18,39,6,37
2420,Food Chemist,35,0,23,3,8
2421,Paralegal,10,24,30,8,49
2422,Account Representative II,14,3,2,10,21
2423,Biostatistician I,12,18,7,10,15
2424,Tax Accountant,13,28,28,8,1
2425,Research Associate,40,9,6,7,41
2426,Electrical Engineer,32,16,30,1,26
2427,Senior Cost Accountant,24,7,16,4,5
2428,Speech Pathologist,21,4,2,8,30
2429,Junior Executive,15,18,50,1,21
2430,Senior Editor,15,27,50,7,2
2431,Recruiter,13,28,18,5,36
2432,General Manager,25,9,17,9,17
2433,Director of Sales,23,27,16,7,15
2434,Speech Pathologist,37,26,46,7,2
2435,Administrative Assistant III,33,4,35,12,2
2436,Software Engineer II,11,8,33,5,27
2437,Actuary,19,20,13,4,24
2438,Speech Pathologist,22,9,27,1,36
2439,Director of Sales,27,16,13,5,29
2440,Associate Professor,12,11,46,11,24
2441,Senior Editor,11,8,31,10,10
2442,Developer III,19,14,50,4,4
2443,Structural Analysis Engineer,18,6,50,5,11
2444,Structural Analysis Engineer,32,12,16,4,11
2445,Environmental Tech,30,25,25,4,44
2446,Information Systems Manager,15,6,22,10,46
2447,Senior Developer,19,1,1,1,42
2448,Help Desk Technician,14,24,35,9,22
2449,Research Nurse,13,17,12,8,9
2450,Paralegal,32,23,7,9,34
2451,Junior Executive,22,5,21,11,8
2452,Analyst Programmer,24,13,12,2,45
2453,Account Coordinator,26,0,27,12,11
2454,Senior Developer,31,13,3,2,44
2455,Marketing Assistant,13,4,40,1,45
2456,Senior Quality Engineer,31,22,28,9,21
2457,Librarian,14,30,13,8,27
2458,Assistant Professor,32,27,36,12,38
2459,Business Systems Development Analyst,16,24,22,9,17
2460,Financial Analyst,28,9,24,2,3
2461,Community Outreach Specialist,10,14,2,11,36
2462,Operator,31,19,27,5,24
2463,VP Product Management,31,15,3,3,26
2464,Account Representative III,22,18,26,1,20
2465,Nuclear Power Engineer,25,12,29,6,8
2466,Project Manager,23,27,38,10,41
2467,Food Chemist,21,20,44,4,4
2468,Human Resources Manager,28,26,36,2,50
2469,Software Test Engineer IV,14,14,17,6,20
2470,Biostatistician IV,12,17,42,3,38
2471,Sales Representative,35,5,15,7,3
2472,Recruiting Manager,30,12,19,3,50
2473,Chemical Engineer,35,23,11,6,29
2474,Quality Control Specialist,31,30,16,10,23
2475,Product Engineer,33,29,13,5,50
2476,Administrative Officer,36,27,20,11,5
2477,Environmental Specialist,24,26,9,9,43
2478,Marketing Manager,29,28,44,4,15
2479,Web Developer I,35,30,44,1,33
2480,Financial Analyst,30,25,19,9,42
2481,Technical Writer,13,7,17,6,47
2482,Biostatistician II,40,7,38,5,28
2483,Professor,26,6,47,6,37
2484,Payment Adjustment Coordinator,15,30,39,4,34
2485,Biostatistician II,13,19,26,11,40
2486,VP Marketing,39,24,25,8,12
2487,Civil Engineer,30,12,50,2,40
2488,Administrative Assistant IV,24,7,37,2,3
2489,Senior Developer,32,29,19,11,50
2490,GIS Technical Architect,33,24,40,4,37
2491,Statistician I,19,30,48,6,48
2492,VP Marketing,13,27,27,11,13
2493,Web Designer I,33,17,36,6,34
2494,Nurse Practicioner,28,18,48,10,41
2495,Associate Professor,33,27,20,5,39
2496,Paralegal,20,21,2,3,49
2497,Cost Accountant,18,11,44,3,24
2498,GIS Technical Architect,25,9,12,11,21
2499,Actuary,33,5,29,7,17
2500,Human Resources Manager,30,4,40,1,32
2501,Systems Administrator IV,30,16,27,8,7
2502,Dental Hygienist,34,18,2,1,29
2503,Chief Design Engineer,28,23,10,7,34
2504,Recruiter,25,4,44,8,41
2505,Chief Design Engineer,24,13,35,1,36
2506,Staff Accountant IV,19,13,20,12,36
2507,Sales Associate,38,27,41,4,43
2508,Software Consultant,18,26,5,12,45
2509,Biostatistician III,17,4,17,6,18
2510,Project Manager,10,3,30,4,34
2511,Senior Developer,11,2,21,4,12
2512,Senior Editor,10,8,27,1,25
2513,Sales Representative,12,3,16,5,44
2514,Quality Control Specialist,30,25,37,1,48
2515,Geologist III,33,27,40,12,6
2516,Software Consultant,11,0,15,4,3
2517,Account Representative II,34,10,49,9,32
2518,Operator,34,7,47,4,31
2519,Account Executive,37,0,5,3,40
2520,Accounting Assistant III,36,20,37,9,37
2521,Environmental Specialist,12,14,31,9,49
2522,Sales Associate,20,11,38,2,7
2523,Teacher,32,12,38,9,1
2524,Marketing Manager,21,28,44,1,34
2525,Speech Pathologist,11,8,16,1,44
2526,Research Nurse,27,16,42,7,21
2527,Staff Scientist,12,4,36,8,10
2528,Junior Executive,11,18,8,7,21
2529,Safety Technician I,14,19,45,2,12
2530,Junior Executive,24,18,44,10,20
2531,Developer I,17,25,31,6,17
2532,Chemical Engineer,16,5,9,6,41
2533,Marketing Manager,12,22,42,4,25
2534,Statistician II,18,14,23,2,7
2535,Senior Developer,15,26,21,5,31
2536,Tax Accountant,38,14,27,11,47
2537,Staff Accountant IV,35,28,17,7,27
2538,Dental Hygienist,13,20,34,7,35
2539,Actuary,36,19,15,3,37
2540,Safety Technician I,16,14,3,10,31
2541,Community Outreach Specialist,29,11,21,12,42
2542,Senior Cost Accountant,14,18,32,9,41
2543,Mechanical Systems Engineer,29,17,27,6,37
2544,Human Resources Manager,31,8,18,5,3
2545,Research Assistant I,24,27,36,11,40
2546,Actuary,32,17,24,5,49
2547,Chief Design Engineer,16,7,7,12,47
2548,Financial Advisor,24,13,2,12,28
2549,Budget/Accounting Analyst II,32,14,45,10,13
2550,Software Test Engineer IV,21,10,29,11,49
2551,Dental Hygienist,21,24,26,12,22
2552,Staff Accountant IV,23,9,23,9,24
2553,Database Administrator IV,33,11,38,8,42
2554,Quality Control Specialist,26,19,14,12,26
2555,Senior Developer,27,7,36,12,38
2556,Accountant IV,21,6,8,5,6
2557,Geological Engineer,36,9,10,4,50
2558,Assistant Manager,15,22,4,10,46
2559,Structural Analysis Engineer,24,20,11,4,2
2560,Administrative Officer,33,20,40,12,34
2561,Business Systems Development Analyst,28,12,33,6,41
2562,VP Quality Control,36,7,12,7,42
2563,Social Worker,29,13,28,11,44
2564,Programmer Analyst I,17,8,35,4,14
2565,Senior Sales Associate,37,19,27,2,41
2566,Cost Accountant,23,10,21,11,46
2567,Social Worker,37,16,5,11,8
2568,Dental Hygienist,17,27,23,1,34
2569,Administrative Officer,14,9,44,8,31
2570,Data Coordiator,25,19,47,12,22
2571,Programmer II,24,7,45,4,36
2572,Staff Accountant II,25,9,21,2,18
2573,VP Marketing,36,3,3,1,24
2574,Accountant IV,40,9,12,11,46
2575,Automation Specialist IV,14,17,8,5,24
2576,Mechanical Systems Engineer,24,13,26,6,9
2577,Director of Sales,19,20,6,11,21
2578,Legal Assistant,20,22,34,9,6
2579,Staff Accountant I,31,5,35,12,23
2580,Quality Control Specialist,38,19,28,10,34
2581,Compensation Analyst,11,16,41,8,32
2582,Account Representative I,26,23,48,9,2
2583,Geologist I,26,18,41,4,45
2584,Internal Auditor,19,6,7,5,20
2585,Programmer IV,26,23,37,4,40
2586,Nurse Practicioner,38,4,28,2,19
2587,Recruiter,20,29,23,8,14
2588,Help Desk Operator,21,5,32,9,15
2589,Budget/Accounting Analyst IV,25,15,8,12,38
2590,Administrative Assistant II,38,5,15,5,15
2591,Structural Analysis Engineer,17,9,33,6,40
2592,Administrative Assistant II,20,16,16,1,26
2593,Quality Engineer,27,29,16,12,8
2594,Biostatistician II,36,24,23,6,34
2595,Quality Control Specialist,37,8,10,8,22
2596,Paralegal,23,15,19,9,23
2597,Geologist III,32,21,4,6,26
2598,Executive Secretary,28,14,46,3,39
2599,Chemical Engineer,13,17,41,8,12
2600,Software Consultant,17,10,2,6,24
2601,Payment Adjustment Coordinator,36,9,46,5,21
2602,Tax Accountant,11,22,18,8,39
2603,Quality Engineer,21,27,47,8,3
2604,Research Nurse,38,6,41,12,47
2605,Tax Accountant,21,26,50,9,46
2606,Administrative Officer,35,15,35,2,33
2607,Physical Therapy Assistant,23,24,10,2,33
2608,Compensation Analyst,30,9,13,7,1
2609,Biostatistician I,18,27,13,2,46
2610,Business Systems Development Analyst,33,2,40,12,15
2611,Sales Associate,19,15,29,2,47
2612,Food Chemist,29,0,28,11,11
2613,Safety Technician II,24,18,16,2,13
2614,Software Test Engineer IV,35,11,25,1,41
2615,Analog Circuit Design manager,36,26,28,10,14
2616,Computer Systems Analyst II,38,15,15,8,50
2617,Health Coach IV,28,18,9,9,42
2618,Product Engineer,37,15,2,8,40
2619,Project Manager,11,27,42,6,27
2620,Community Outreach Specialist,38,24,27,11,2
2621,Staff Scientist,33,7,19,10,30
2622,Recruiting Manager,21,26,19,7,7
2623,Programmer Analyst II,30,23,39,7,40
2624,Desktop Support Technician,11,0,8,6,4
2625,Research Associate,30,4,39,2,42
2626,Senior Financial Analyst,22,12,24,8,2
2627,Dental Hygienist,25,3,23,5,40
2628,Sales Associate,33,0,36,12,38
2629,Software Consultant,25,8,34,10,45
2630,Web Developer I,26,16,19,3,46
2631,Account Representative II,27,23,4,6,38
2632,Accountant III,38,0,33,7,48
2633,Office Assistant IV,23,19,32,2,9
2634,Budget/Accounting Analyst II,15,14,44,5,50
2635,Financial Analyst,25,2,19,6,5
2636,Administrative Assistant I,37,3,9,2,9
2637,Staff Accountant I,38,5,36,6,6
2638,VP Marketing,12,12,7,11,42
2639,Software Engineer III,15,20,21,7,4
2640,Geologist IV,30,9,46,1,10
2641,Pharmacist,10,7,11,1,32
2642,Internal Auditor,33,11,33,8,39
2643,Structural Analysis Engineer,17,4,34,7,6
2644,Project Manager,30,9,20,4,44
2645,VP Sales,36,6,38,2,16
2646,Marketing Manager,32,24,44,5,30
2647,Staff Accountant IV,22,25,10,3,16
2648,Programmer Analyst III,11,21,43,11,39
2649,Executive Secretary,17,5,32,12,47
2650,Nurse,32,30,4,5,47
2651,Geologist I,33,25,12,8,22
2652,Developer I,16,14,32,6,23
2653,Automation Specialist I,26,20,10,4,32
2654,Nurse,10,17,48,2,4
